Ticker,Volume,Market Capitalization,Sector,Country,Number of Employees,Industry,Exchange
RVNC,348494,1326802357,Health Technology,United States,193,Pharmaceuticals: Other,NASDAQ
TOWN,172081,1325388000,Finance,United States,2446,Regional Banks,NASDAQ
MGRC,103013,1325083065,Finance,United States,1099,Finance/Rental/Leasing,NASDAQ
DK,605057,1324787152,Energy Minerals,United States,3814,Oil Refining/Marketing,NYSE
KN,724301,1322534805,Electronic Technology,United States,8500,Electronic Components,NYSE
CWH,1047800,1317278600,Retail Trade,United States,12207,Specialty Stores,NYSE
FMCC,982799,1316369475,Finance,United States,6871,Finance/Rental/Leasing,OTC
RGR,253061,1314386976,Consumer Durables,United States,1580,Recreational Products,NYSE
CUB,443355,1312346105,Electronic Technology,United States,6200,Aerospace & Defense,NYSE
KPTI,1282981,1309853440,Health Technology,United States,347,Biotechnology,NASDAQ
TBPH,319074,1309078075,Health Technology,Cayman Islands,316,Pharmaceuticals: Other,NASDAQ
GTN.A,295,1305830993,Consumer Services,United States,6912,Broadcasting,NYSE
CRK,1541520,1305079040,Energy Minerals,United States,207,Oil & Gas Production,NYSE
DY,268816,1304927250,Industrial Services,United States,15230,Engineering & Construction,NYSE
NBTB,72918,1302815430,Finance,United States,1788,Regional Banks,NASDAQ
AMWD,93171,1302208236,Producer Manufacturing,United States,9900,Building Products,NASDAQ
SVM,2463326,1301916420,Non-Energy Minerals,Canada,,Precious Metals,NYSE ARCA
VGR,701952,1298160800,Consumer Non-Durables,United States,1418,Tobacco,NYSE
EVER,378521,1296450739,Technology Services,United States,250,Internet Software/Services,NASDAQ
SWBI,1621009,1296403675,Electronic Technology,United States,1970,Aerospace & Defense,NASDAQ
CHRS,863172,1296282328,Health Technology,United States,291,Biotechnology,NASDAQ
HNI,274886,1294348590,Producer Manufacturing,United States,8500,Office Equipment/Supplies,NYSE
AMCX,482949,1294249921,Consumer Services,United States,2114,Cable/Satellite TV,NASDAQ
BANR,114791,1292755983,Finance,United States,2198,Regional Banks,NASDAQ
THRM,104703,1289958258,Producer Manufacturing,United States,11726,Auto Parts: OEM,NASDAQ
NSTG,223993,1289954510,Health Technology,United States,551,Biotechnology,NASDAQ
BANF,43003,1289196769,Finance,United States,1948,Regional Banks,NASDAQ
TRHC,148549,1288709982,Technology Services,United States,1286,Data Processing Services,NASDAQ
PJT,126442,1285358911,Finance,United States,678,Investment Banks/Brokers,NYSE
SCS,761419,1282019716,Producer Manufacturing,United States,12700,Office Equipment/Supplies,NYSE
VCTR,108617,1281599535,Finance,United States,358,Investment Managers,NASDAQ
ATKR,304761,1278781250,Producer Manufacturing,United States,3900,Electrical Products,NYSE
BBBY,5978240,1277984760,Retail Trade,United States,55000,Specialty Stores,NASDAQ
LZB,202526,1273167500,Consumer Durables,United States,9500,Home Furnishings,NYSE
CYRX,506375,1272967774,Transportation,United States,125,Air Freight/Couriers,NASDAQ
NWBI,439346,1266162025,Finance,United States,2333,Savings Banks,NASDAQ
FBP,1976211,1265316400,Finance,Puerto Rico,2674,Regional Banks,NYSE
RCUS,534141,1263568900,Health Technology,United States,139,Biotechnology,NYSE
EVA,190360,1262879658,Process Industries,United States,1039,Industrial Specialties,NYSE
CRTX,49112,1256707056,Health Technology,United States,23,Biotechnology,NASDAQ
CVA,710434,1254882540,Industrial Services,United States,4000,Environmental Services,NYSE
SA,360556,1253087440,Non-Energy Minerals,Canada,,Precious Metals,NYSE
SEAS,1228849,1251380800,Consumer Services,United States,4300,Movies/Entertainment,NYSE
AAWW,257227,1250419076,Transportation,United States,3587,Air Freight/Couriers,NASDAQ
FTAI,323759,1249482328,Finance,United States,83,Investment Managers,NYSE
VNE,1872180,1248300450,Producer Manufacturing,Sweden,8900,Auto Parts: OEM,NYSE
EXPI,930354,1247612080,Finance,United States,634,Financial Conglomerates,NASDAQ
KRO,92932,1246557910,Process Industries,United States,2200,Chemicals: Specialty,NYSE
HTGC,560214,1243953810,Finance,United States,77,Investment Managers,NYSE
MODN,329755,1243926846,Technology Services,United States,733,Information Technology Services,NYSE
CBZ,115663,1243462059,Commercial Services,United States,4800,Miscellaneous Commercial Services,NYSE
MGNX,444015,1241054112,Health Technology,United States,384,Biotechnology,NASDAQ
TTMI,798426,1235617720,Electronic Technology,United States,25700,Electronic Components,NASDAQ
AX,172776,1235469547,Finance,United States,1007,Savings Banks,NYSE
TNC,90475,1230668025,Producer Manufacturing,United States,4400,Industrial Machinery,NYSE
BV,246975,1229732720,Commercial Services,United States,21500,Miscellaneous Commercial Services,NYSE
BTAI,450544,1228038588,Health Technology,United States,24,Biotechnology,NASDAQ
AMSF,45815,1227658080,Finance,United States,434,Life/Health Insurance,NASDAQ
SNBR,309874,1224336000,Consumer Durables,United States,4476,Home Furnishings,NASDAQ
SUPN,288650,1223100936,Health Technology,United States,464,Pharmaceuticals: Other,NASDAQ
AKCA,224400,1221153270,Health Technology,United States,294,Pharmaceuticals: Major,NASDAQ
NGM,252907,1220421429,Health Technology,United States,186,Biotechnology,NASDAQ
CSTM,1972517,1216366200,Commercial Services,France,13200,Miscellaneous Commercial Services,NYSE
COOP,442075,1214923700,Finance,United States,9100,Finance/Rental/Leasing,NASDAQ
OSIS,114016,1213414544,Electronic Technology,United States,6667,Semiconductors,NASDAQ
MBUU,206579,1211301750,Consumer Durables,United States,1835,Recreational Products,NASDAQ
UFS,741599,1210353981,Process Industries,United States,10000,Pulp & Paper,NYSE
ALG,44167,1209621798,Producer Manufacturing,United States,4270,Trucks/Construction/Farm Machinery,NYSE
HSC,381736,1208515136,Producer Manufacturing,United States,10500,Metal Fabrication,NYSE
ENLC,1904816,1208472200,Industrial Services,United States,1355,Oil & Gas Pipelines,NYSE
ICFI,76718,1203629289,Commercial Services,United States,7000,Miscellaneous Commercial Services,NASDAQ
FSM,4280524,1200129110,Non-Energy Minerals,Canada,3740,Precious Metals,NYSE
PRFT,172503,1197586500,Commercial Services,United States,3454,Personnel Services,NASDAQ
ODP,400203,1196892612,Retail Trade,United States,40000,Specialty Stores,NASDAQ
DRQ,163617,1193466228,Industrial Services,United States,1814,Oilfield Services/Equipment,NYSE
JOE,159463,1191526770,Finance,United States,55,Real Estate Development,NYSE
USAC,196325,1190639203,Industrial Services,United States,879,Oilfield Services/Equipment,NYSE
ATI,1361785,1187789400,Non-Energy Minerals,United States,8100,Steel,NYSE
ATRI,3982,1187581710,Health Technology,United States,616,Medical Specialties,NASDAQ
OFLX,4926,1187392509,Producer Manufacturing,United States,151,Industrial Machinery,NASDAQ
ARGO,141492,1186063328,Finance,Bermuda,1467,Multi-Line Insurance,NYSE
VBIV,8973687,1185530720,Health Technology,United States,125,Biotechnology,NASDAQ
TBIO,1405703,1184922585,Health Technology,United States,93,Biotechnology,NASDAQ
MTRN,133182,1182142374,Non-Energy Minerals,United States,2600,Other Metals/Minerals,NYSE
MLAB,34161,1181905830,Health Technology,United States,460,Medical Specialties,NASDAQ
RPAY,944596,1179571668,Commercial Services,United States,243,Miscellaneous Commercial Services,NASDAQ
CALX,1198237,1179166442,Electronic Technology,United States,763,Telecommunications Equipment,NYSE
CCS,547300,1178303875,Consumer Durables,United States,1460,Homebuilding,NYSE
HLIO,44359,1176424938,Producer Manufacturing,United States,1960,Industrial Machinery,NASDAQ
OSUR,1159852,1175889000,Health Technology,United States,472,Medical Specialties,NASDAQ
ACB,2251555,1174035200,Process Industries,Canada,2779,Agricultural Commodities/Milling,NYSE
CORE,111679,1172686860,Distribution Services,United States,8555,Wholesale Distributors,NASDAQ
SLP,158732,1171119840,Technology Services,United States,111,Packaged Software,NASDAQ
CSII,276379,1169666064,Health Technology,United States,731,Medical Specialties,NASDAQ
SEII,2101,1169584920,Producer Manufacturing,China,,Industrial Machinery,OTC
LKFN,46973,1168624470,Finance,United States,568,Regional Banks,NASDAQ
MSEX,46571,1167594610,Utilities,United States,352,Water Utilities,NASDAQ
SAFT,28928,1165359140,Finance,United States,609,Property/Casualty Insurance,NASDAQ
ODT,52663,1163983875,Health Technology,United States,152,Pharmaceuticals: Major,NASDAQ
GNMK,938241,1161612480,Health Technology,United States,437,Medical Specialties,NASDAQ
BDRAF,22011,1160514490,Electronic Technology,Canada,59650,Aerospace & Defense,OTC
FISK,664,1158059710,Finance,United States,831,Real Estate Investment Trusts,NYSE ARCA
OGCP,31263,1157164860,Finance,United States,831,Real Estate Investment Trusts,NYSE ARCA
FRHC,89457,1150823704,Finance,Kazakhstan,1493,Investment Banks/Brokers,NASDAQ
EPAC,257220,1149955560,Producer Manufacturing,United States,4700,Industrial Machinery,NYSE
HTLF,62444,1148817746,Finance,United States,1908,Regional Banks,NASDAQ
ESBA,487,1145759899,Finance,United States,831,Real Estate Investment Trusts,NYSE ARCA
REAL,1341003,1144400565,Retail Trade,United States,2353,Internet Retail,NASDAQ
RDWR,499850,1143183130,Electronic Technology,Israel,1094,Computer Communications,NASDAQ
MDRX,1139507,1142726500,Technology Services,United States,9600,Information Technology Services,NASDAQ
MSTR,54504,1141890444,Technology Services,United States,2396,Internet Software/Services,NASDAQ
OSPN,186314,1140471744,Technology Services,United States,744,Information Technology Services,NASDAQ
BPMP,129352,1139990461,Industrial Services,United States,,Oil & Gas Pipelines,NYSE
TSLX,502539,1132352298,Finance,United States,,Investment Managers,NYSE
INMD,603628,1132041900,Health Technology,Israel,251,Medical Specialties,NASDAQ
PIPR,63254,1131568000,Finance,United States,1565,Investment Banks/Brokers,NYSE
PRDO,302261,1131227370,Consumer Services,United States,4000,Other Consumer Services,NASDAQ
CAKE,2322193,1127914701,Consumer Services,United States,46250,Restaurants,NASDAQ
KAMN,83501,1125944193,Electronic Technology,United States,2935,Aerospace & Defense,NYSE
PRK,21934,1125103456,Finance,United States,,Major Banks,NYSE ARCA
SASR,287329,1124733930,Finance,United States,932,Regional Banks,NASDAQ
CGEN,1884390,1122139041,Health Technology,Israel,61,Biotechnology,NASDAQ
FDP,129035,1113305267,Consumer Non-Durables,United States,38000,Food: Specialty/Candy,NYSE
PRSC,70351,1112969712,Transportation,United States,3800,Other Transportation,NASDAQ
MHO,247004,1107559739,Consumer Durables,United States,1401,Homebuilding,NYSE
GNW,1660984,1106225940,Finance,United States,3100,Life/Health Insurance,NYSE
ESPR,1236652,1103867478,Health Technology,United States,193,Biotechnology,NASDAQ
ALXO,72117,1103719650,Commercial Services,United States,,Miscellaneous Commercial Services,NASDAQ
ARCT,646655,1100436510,Health Technology,United States,,Pharmaceuticals: Major,NASDAQ
SYKE,246306,1097245233,Technology Services,United States,54900,Information Technology Services,NASDAQ
RVLV,674197,1094316363,Retail Trade,United States,1008,Internet Retail,NYSE
TROX,740524,1089596800,Process Industries,United States,6660,Chemicals: Specialty,NYSE
BEAM,122261,1089424716,Health Technology,United States,118,Biotechnology,NASDAQ
ECOL,142407,1088747136,Industrial Services,United States,3800,Environmental Services,NASDAQ
